
EL_DIVISADERO	0	0.172103	0.0938511	0.0935573	0.183963	0.111692	0.125495	0.0909536	0.0892327	0.115037	0.159104	0.120858	0.116059	0.0890317
EL_ALTAR	0.172103	0	0.0864902	0.0780515	0.175325	0.0908585	0.116701	0.0665972	0.104099	0.0761266	0.0815031	0.0725895	0.080338	0.082084
MANQUEHUA	0.0938511	0.0864902	0	0.0346003	0.137706	0.0441101	0.0749893	0.0328315	0.0458414	0.0657929	0.0759872	0.0515392	0.0321198	0.0444932
PUNITAQUI	0.0935573	0.0780515	0.0346003	0	0.0917826	0.0299811	0.0525604	0.0164292	0.0269785	0.0438711	0.0661322	0.0337945	0.0234908	0.0260563
RINCONADA_DE_PUNITAQUI	0.183963	0.175325	0.137706	0.0917826	0	0.105608	0.0973186	0.0934087	0.0941036	0.140344	0.152918	0.120115	0.117434	0.0911453
BARRAZA	0.111692	0.0908585	0.0441101	0.0299811	0.105608	0	0.0532756	0.0307126	0.0265937	0.0375002	0.0709686	0.051695	0.0353906	0.0350506
CANELILLA_OVALLE	0.125495	0.116701	0.0749893	0.0525604	0.0973186	0.0532756	0	0.046106	0.040451	0.0844418	0.109804	0.0696269	0.0528546	0.0529102
CANELA_BAJA	0.0909536	0.0665972	0.0328315	0.0164292	0.0934087	0.0307126	0.046106	0	0.027517	0.0295297	0.0599476	0.0241581	0.0197123	0.0235568
LA_CALERA	0.0892327	0.104099	0.0458414	0.0269785	0.0941036	0.0265937	0.040451	0.027517	0	0.049905	0.0798142	0.0533326	0.0406274	0.028472
EL_ESPINAL	0.115037	0.0761266	0.0657929	0.0438711	0.140344	0.0375002	0.0844418	0.0295297	0.049905	0	0.0746834	0.0447727	0.0376674	0.0454778
PUCLARO	0.159104	0.0815031	0.0759872	0.0661322	0.152918	0.0709686	0.109804	0.0599476	0.0798142	0.0746834	0	0.102036	0.0540543	0.0752813
HUENTELAUQUEN	0.120858	0.0725895	0.0515392	0.0337945	0.120115	0.051695	0.0696269	0.0241581	0.0533326	0.0447727	0.102036	0	0.040684	0.048775
CASTILLO_MAL_PASO	0.116059	0.080338	0.0321198	0.0234908	0.117434	0.0353906	0.0528546	0.0197123	0.0406274	0.0376674	0.0540543	0.040684	0	0.0335082
MONTE_PATRIA	0.0890317	0.082084	0.0444932	0.0260563	0.0911453	0.0350506	0.0529102	0.0235568	0.028472	0.0454778	0.0752813	0.048775	0.0335082	0
